order_id,order_date,customer_id,product_name,product_category,quantity,unit_price,country,invoice_status
ORD-2024-100000,not available,,Reusable Water Bottle,Kitchen,1,0,Germany,Cancelled
ORD-2025-100001,2025-01-14,C1054,Reusable Water Bottle,Kitchen,-1,19.27,United States,Returned
ORD-2024-100002,2024-04-21,C1071,USB-C Hub,Electronics,1,41.21,Spain,Completed
ORD-2024-100003,2024-08-17,C1000,Desk Lamp,Home Office,3,37.7,United Kingdom,Returned
ORD-2024-100004,2024-08-04,C1122,Coffee Grinder,Kitchen,2,70.83,Canada,Returned
ORD-2024-100005,2024-02-17,C1044,USB-C Hub,Electronics,2,38.3,Netherlands,Completed
ORD-2024-100006,2024-01-23,C1124,Yoga Mat,Wellness,3,28.3,Germany,Completed
ORD-2024-100007,2024-05-30,C1110,Planner,Stationery,4,18.64,France,Completed
ORD-2024-100008,2024-02-05,C1037,Coffee Grinder,Kitchen,1,72.55,France,Completed
ORD-2024-100009,2024-02-21,C1106,Resistance Bands,Wellness,2,14.78,United Kingdom,Completed
ORD-2024-100010,2024-06-30,C1119,Standing Desk Mat,Home Office,1,41.85,Germany,Cancelled
ORD-2024-100011,2024-11-21,C1020,Travel Mug,Kitchen,1,17.63,Spain,Completed
ORD-2024-100012,2024-11-23,C1041,Ergonomic Chair,Home Office,3,200.58,United States,Returned
ORD-2025-100013,2025-02-24,C1034,Desk Lamp,Home Office,1,32.59,France,Completed
ORD-2024-100014,2024-10-17,C1083,Air Purifier Filter,Wellness,5,29.28,Spain,Completed
ORD-2024-100015,2024-11-25,C1031,Air Purifier Filter,Wellness,2,28.81,Netherlands,Processing
ORD-2024-100016,2024-10-26,C1046,Coffee Grinder,Kitchen,2,80.98,United Kingdom,Completed
ORD-2024-100017,2024-09-09,C1014,Planner,Stationery,1,15.55,United Kingdom,Completed
ORD-2024-100018,2024-12-14,C1048,Yoga Mat,Wellness,2,24.33,Italy,Completed
ORD-2024-100019,2024-05-08,C1001,Planner,Stationery,-2,19.95,Germany,Cancelled
ORD-2025-100020,2025-03-29,C1082,Reusable Water Bottle,Kitchen,2,20.46,Germany,Completed
ORD-2024-100021,2024-08-10,C1092,Ergonomic Chair,Home Office,1,186.36,Netherlands,Processing
ORD-2025-100022,2025-01-25,C1111,Planner,Stationery,1,20.23,Netherlands,Completed
ORD-2024-100023,2024-11-23,C1047,Resistance Bands,Wellness,2,13.64,United Kingdom,Returned
ORD-2025-100024,2025-02-02,C1076,Planner,Stationery,-1,20.26,Italy,Returned
ORD-2024-100025,2024-02-27,C1106,Wireless Mouse,Electronics,-1,27.83,France,Returned
ORD-2024-100026,2024-05-03,C1010,Wireless Mouse,Electronics,5,28.34,Italy,Processing
ORD-2024-100027,2024-02-05,C1016,Resistance Bands,Wellness,-2,15.14,Italy,Returned
ORD-2024-100028,2024-03-25,C1054,Planner,Stationery,1,20.01,France,Completed
ORD-2024-100029,2024-06-08,,Coffee Grinder,Kitchen,2,83.07,Italy,Completed
ORD-2024-100030,2024-05-06,C1075,USB-C Hub,Electronics,1,38.05,France,Completed
ORD-2024-100031,2024-04-22,C1007,Travel Mug,Kitchen,1,17.53,Germany,Completed
ORD-2024-100032,2024-01-17,C1030,Air Purifier Filter,Wellness,5,27.01,Italy,Completed
ORD-2024-100033,2024-10-03,C1073,Desk Lamp,Home Office,1,39.01,Italy,Completed
ORD-2025-100034,2025-02-05,C1012,Desk Lamp,Home Office,2,33.54,Spain,Completed
ORD-2024-100035,2024-08-04,C1006,Standing Desk Mat,Home Office,2,49.91,Germany,Cancelled
ORD-2024-100036,2024-07-25,C1013,Wireless Mouse,Electronics,3,27.24,France,Completed
ORD-2024-100037,10/01/2024,C1035,Desk Lamp,Home Office,2,33.69,France,Completed
ORD-2024-100038,2024-02-08,C1070,Resistance Bands,Wellness,2,16.61,United States,Completed
ORD-2024-100039,2024-10-03,C1118,Reusable Water Bottle,Kitchen,5,25.1,France,Returned
ORD-2024-100040,2024-07-27,C1051,Noise-Canceling Headphones,Electronics,2,118.83,United Kingdom,Completed
ORD-2024-100041,2024-01-02,C1100,Notebook Set,Stationery,-2,12.07,Netherlands,Returned
ORD-2024-100042,2024-12-22,C1071,Notebook Set,Stationery,-1,14.92,Italy,Cancelled
ORD-2024-100043,2024-04-07,C1074,Noise-Canceling Headphones,Electronics,1,148.27,United States,Processing
ORD-2024-100044,2024-06-09,C1064,Coffee Grinder,Kitchen,1,81.0,United Kingdom,Completed
ORD-2024-100045,2024-09-17,C1076,Wireless Mouse,Electronics,1,22.63,France,Completed
ORD-2024-100046,2024-03-02,C1074,Notebook Set,Stationery,-1,13.26,United States,Returned
ORD-2024-100047,2024-02-11,C1066,Travel Mug,Kitchen,2,16.91,Netherlands,Completed
ORD-2024-100048,2024-12-08,C1050,Desk Lamp,Home Office,3,31.8,Netherlands,Completed
ORD-2024-100049,2024-06-10,C1001,Gel Pen Pack,Stationery,-1,9.6,Germany,Returned
ORD-2024-100050,2024-10-02,C1119,USB-C Hub,Electronics,1,37.17,Germany,Completed
ORD-2024-100051,2024-05-05,C1106,Air Purifier Filter,Wellness,2,27.82,Netherlands,Completed
ORD-2025-100052,2025-02-17,C1104,Travel Mug,Kitchen,3,14.06,Netherlands,Completed
ORD-2024-100053,05-12-2024,C1033,Air Purifier Filter,Wellness,1,34.52,Germany,Completed
ORD-2024-100054,2024-10-10,C1026,Coffee Grinder,Kitchen,1,73.83,Canada,Processing
ORD-2024-100055,2024-12-17,C1062,Desk Lamp,Home Office,3,32.06,United States,Completed
ORD-2024-100056,2024-11-20,C1000,USB-C Hub,Electronics,2,37.31,United Kingdom,Completed
ORD-2024-100057,2024-05-14,C1090,Reusable Water Bottle,Kitchen,1,21.62,United States,Completed
ORD-2024-100058,2024-02-08,,USB-C Hub,Electronics,-1,42.28,United States,Returned
ORD-2024-100059,2024-07-08,C1016,Resistance Bands,Wellness,3,13.41,Netherlands,Completed
ORD-2025-100060,2025-02-11,C1045,Standing Desk Mat,Home Office,-2,38.79,France,Returned
ORD-2024-100061,2024-02-22,C1111,Reusable Water Bottle,Kitchen,2,22.4,United Kingdom,Completed
ORD-2024-100062,2024-05-01,C1103,Air Purifier Filter,Wellness,5,35.43,Spain,Completed
ORD-2024-100063,2024-04-01,C1119,Wireless Mouse,Electronics,4,23.73,France,Completed
ORD-2024-100064,2024-03-22,C1111,Ergonomic Chair,Home Office,4,193.25,Italy,Completed
ORD-2024-100065,2024-04-12,C1039,Desk Lamp,Home Office,4,34.09,France,Completed
ORD-2024-100066,2024-12-03,C1110,Wireless Mouse,Electronics,1,23.7,Netherlands,Completed
ORD-2024-100067,2024-11-24,C1107,Standing Desk Mat,Home Office,2,47.42,Canada,Cancelled
ORD-2024-100068,2024-02-29,C1074,Wireless Mouse,Electronics,5,23.2,United States,Completed
ORD-2024-100069,2024-11-01,C1040,USB-C Hub,Electronics,2,42.73,Germany,Completed
ORD-2024-100070,2024-10-22,C1055,Notebook Set,Stationery,1,11.21,France,Completed
ORD-2024-100071,2024-08-08,C1042,Standing Desk Mat,Home Office,1,0,Canada,Completed
ORD-2025-100072,2025-03-10,C1064,Reusable Water Bottle,Kitchen,1,24.64,Spain,Completed
ORD-2024-100073,2024-07-25,C1024,Standing Desk Mat,Home Office,3,45.73,Spain,Completed
ORD-2025-100074,01/18/2025,C1038,Reusable Water Bottle,Kitchen,-1,22.76,United States,Returned
ORD-2024-100075,2024-05-26,C1077,Ergonomic Chair,Home Office,1,237.77,Canada,Completed
ORD-2024-100076,2024-08-14,C1060,Gel Pen Pack,Stationery,2,7.76,United Kingdom,Processing
ORD-2024-100077,2024-02-13,C1079,Reusable Water Bottle,Kitchen,1,23.08,Germany,Completed
ORD-2025-100078,2025-01-19,C1103,Resistance Bands,Wellness,1,14.14,United Kingdom,Completed
ORD-2024-100079,2024-01-24,C1108,Wireless Mouse,Electronics,1,24.8,Germany,Returned
ORD-2024-100080,2024-07-31,C1091,Gel Pen Pack,Stationery,5,8.68,Spain,Cancelled
ORD-2024-100081,2024-07-23,C1000,Gel Pen Pack,Stationery,1,8.89,Germany,Returned
ORD-2024-100082,2024-08-05,C1089,Yoga Mat,Wellness,1,30.55,Italy,Completed
ORD-2024-100083,2024-10-12,C1058,Wireless Mouse,Electronics,1,27.6,Italy,Completed
ORD-2024-100084,2024-09-28,C1121,Reusable Water Bottle,Kitchen,-2,22.63,Italy,Returned
ORD-2025-100085,2025-02-21,C1106,Travel Mug,Kitchen,3,16.52,Italy,Completed
ORD-2024-100086,2024-03-22,C1033,Air Purifier Filter,Wellness,4,30.76,France,Returned
ORD-2024-100087,2024-11-22,,Resistance Bands,Wellness,1,16.24,France,Completed
ORD-2024-100088,2024-08-13,C1034,Ergonomic Chair,Home Office,1,204.92,Canada,Completed
ORD-2024-100089,2024-10-03,C1049,Air Purifier Filter,Wellness,1,27.75,United Kingdom,Cancelled
ORD-2024-100090,2024-04-19,C1069,Coffee Grinder,Kitchen,1,76.81,Spain,Completed
ORD-2024-100091,2024-04-15,C1098,Wireless Mouse,Electronics,5,24.16,United States,Completed
ORD-2025-100092,2025-03-26,C1000,Resistance Bands,Wellness,4,14.45,Netherlands,Completed
ORD-2024-100093,2024-07-18,C1053,Yoga Mat,Wellness,5,31.81,France,Completed
ORD-2024-100094,2024-04-22,C1049,Gel Pen Pack,Stationery,1,8.45,Spain,Completed
ORD-2024-100095,2024-03-25,C1125,Coffee Grinder,Kitchen,5,88.94,United States,Completed
ORD-2024-100096,2024-07-20,C1010,Air Purifier Filter,Wellness,3,32.52,Spain,Completed
ORD-2025-100097,2025-03-19,C1048,Noise-Canceling Headphones,Electronics,2,112.45,France,Completed
ORD-2024-100098,2024-06-16,C1035,Gel Pen Pack,Stationery,2,9.46,Spain,Returned
ORD-2025-100099,2025-03-03,C1069,Ergonomic Chair,Home Office,1,187.42,Canada,Completed
ORD-2024-100100,2024-11-28,C1005,Desk Lamp,Home Office,1,39.23,United States,Returned
ORD-2024-100101,2024-04-12,C1030,Desk Lamp,Home Office,5,35.76,Italy,Completed
ORD-2024-100102,2024-02-28,C1089,Reusable Water Bottle,Kitchen,3,20.14,Canada,Completed
ORD-2024-100103,2024-11-06,C1014,Noise-Canceling Headphones,Electronics,3,139.66,United Kingdom,Returned
ORD-2024-100104,2024-02-25,C1073,Ergonomic Chair,Home Office,3,247.18,Spain,Cancelled
ORD-2025-100105,2025-01-01,C1106,Notebook Set,Stationery,1,13.35,France,Completed
ORD-2024-100106,22-12-2024,C1076,USB-C Hub,Electronics,4,44.19,United States,Completed
ORD-2024-100107,2024-09-29,C1064,Standing Desk Mat,Home Office,2,43.25,Canada,Completed
ORD-2025-100108,2025-03-10,C1055,Wireless Mouse,Electronics,2,24.92,Italy,Completed
ORD-2024-100109,2024-03-19,C1123,Coffee Grinder,Kitchen,2,84.54,Netherlands,Completed
ORD-2025-100110,2025-02-17,C1059,Travel Mug,Kitchen,-1,17.86,Netherlands,Returned
ORD-2025-100111,03/12/2025,C1035,Standing Desk Mat,Home Office,1,50.87,France,Completed
ORD-2024-100112,2024-08-25,C1043,Yoga Mat,Wellness,3,29.41,Italy,Completed
ORD-2024-100113,not available,C1102,Resistance Bands,Wellness,1,13.7,Canada,Completed
ORD-2025-100114,2025-03-26,C1071,Ergonomic Chair,Home Office,3,243.97,France,Completed
ORD-2024-100115,2024-05-03,C1097,USB-C Hub,Electronics,3,39.85,Italy,Completed
ORD-2024-100116,2024-12-30,,Reusable Water Bottle,Kitchen,2,23.93,France,Completed
ORD-2024-100117,2024-12-20,C1047,Notebook Set,Stationery,1,13.63,Canada,Completed
ORD-2025-100118,2025-01-16,C1058,Notebook Set,Stationery,3,12.41,Netherlands,Completed
ORD-2024-100119,2024-04-28,C1015,Ergonomic Chair,Home Office,1,198.8,United Kingdom,Processing
ORD-2024-100120,2024-04-20,C1075,Desk Lamp,Home Office,4,32.19,Netherlands,Returned
ORD-2025-100121,2025-03-02,C1022,USB-C Hub,Electronics,1,36.72,United States,Completed
ORD-2024-100122,2024-09-30,C1006,Coffee Grinder,Kitchen,1,68.23,Netherlands,Completed
ORD-2024-100123,2024-03-05,C1013,Coffee Grinder,Kitchen,3,84.99,Netherlands,Completed
ORD-2024-100124,2024-09-02,C1006,Gel Pen Pack,Stationery,2,7.69,Italy,Completed
ORD-2025-100125,2025-02-24,C1073,USB-C Hub,Electronics,1,39.89,United States,Completed
ORD-2024-100126,2024-03-17,C1010,Noise-Canceling Headphones,Electronics,4,147.5,Germany,Completed
ORD-2025-100127,2025-01-26,C1079,Planner,Stationery,2,18.52,Spain,Completed
ORD-2024-100128,2024-08-14,C1054,Gel Pen Pack,Stationery,1,8.72,United States,Completed
ORD-2025-100129,2025-01-13,C1080,Travel Mug,Kitchen,1,17.8,Netherlands,Completed
ORD-2024-100130,2024-02-11,C1009,Reusable Water Bottle,Kitchen,1,19.85,United States,Completed
ORD-2024-100131,2024-08-18,C1004,Notebook Set,Stationery,3,-12.87,Netherlands,Completed
ORD-2024-100132,2024-05-24,C1087,Coffee Grinder,Kitchen,3,77.91,Netherlands,Completed
ORD-2025-100133,2025-02-09,C1119,Yoga Mat,Wellness,3,29.35,Spain,Completed
ORD-2024-100134,2024-10-05,C1034,USB-C Hub,Electronics,1,35.78,Germany,Cancelled
ORD-2024-100135,2024-03-25,C1105,Wireless Mouse,Electronics,4,25.7,Netherlands,Completed
ORD-2024-100136,2024-03-04,C1051,Gel Pen Pack,Stationery,2,7.99,Italy,Completed
ORD-2024-100137,2024-02-11,C1094,Gel Pen Pack,Stationery,3,9.48,Netherlands,Completed
ORD-2024-100138,2024-02-16,C1110,Wireless Mouse,Electronics,1,26.3,United States,Completed
ORD-2024-100139,2024-12-10,C1097,Yoga Mat,Wellness,4,28.64,United Kingdom,Returned
ORD-2024-100140,2024-09-22,C1023,Gel Pen Pack,Stationery,3,9.55,Spain,Completed
ORD-2025-100141,2025-02-20,C1044,Reusable Water Bottle,Kitchen,2,19.3,Canada,Completed
ORD-2024-100142,2024-12-09,C1052,Standing Desk Mat,Home Office,1,0,Italy,Cancelled
ORD-2024-100143,2024-12-05,C1070,Ergonomic Chair,Home Office,-1,239.6,Italy,Returned
ORD-2024-100144,2024-06-10,C1098,USB-C Hub,Electronics,1,35.38,United States,Completed
ORD-2025-100145,2025-03-21,,Reusable Water Bottle,Kitchen,2,21.43,Canada,Completed
ORD-2025-100146,2025-01-22,C1006,Travel Mug,Kitchen,2,16.21,Netherlands,Completed
ORD-2024-100147,2024-03-08,C1089,Planner,Stationery,-1,17.67,Germany,Returned
ORD-2024-100148,11/18/2024,C1020,Wireless Mouse,Electronics,3,23.04,United States,Completed
ORD-2024-100149,2024-07-27,C1116,Planner,Stationery,1,20.66,Italy,Completed
ORD-2024-100150,2024-11-27,C1091,USB-C Hub,Electronics,5,39.97,Netherlands,Completed
ORD-2025-100151,2025-03-03,C1058,Notebook Set,Stationery,2,12.88,United Kingdom,Completed
ORD-2024-100152,2024-04-07,C1112,Notebook Set,Stationery,-1,13.02,Germany,Returned
ORD-2025-100153,2025-01-30,C1119,Ergonomic Chair,Home Office,4,213.41,Netherlands,Completed
ORD-2024-100154,2024-01-02,C1075,Resistance Bands,Wellness,1,14.08,Italy,Completed
ORD-2024-100155,2024-03-17,C1042,Resistance Bands,Wellness,2,14.92,Spain,Completed
ORD-2024-100156,2024-06-13,C1030,Gel Pen Pack,Stationery,5,9.71,Spain,Completed
ORD-2025-100157,2025-03-14,C1095,Desk Lamp,Home Office,4,29.78,Spain,Completed
ORD-2024-100158,2024-12-05,C1019,Notebook Set,Stationery,4,13.58,United States,Completed
ORD-2024-100159,14-09-2024,C1012,Noise-Canceling Headphones,Electronics,-2,123.44,Germany,Returned
ORD-2024-100160,2024-08-21,C1111,Planner,Stationery,1,16.08,United Kingdom,Completed
ORD-2024-100161,2024-08-28,C1079,USB-C Hub,Electronics,4,37.17,Spain,Cancelled
ORD-2024-100162,2024-02-11,C1109,Reusable Water Bottle,Kitchen,5,24.33,Spain,Completed
ORD-2024-100163,2024-11-16,C1111,Standing Desk Mat,Home Office,3,48.5,United States,Completed
ORD-2024-100164,2024-02-05,C1036,Travel Mug,Kitchen,1,17.41,Germany,Completed
ORD-2024-100165,2024-02-20,C1012,Notebook Set,Stationery,4,13.78,United Kingdom,Completed
ORD-2024-100166,2024-06-02,C1101,Coffee Grinder,Kitchen,-1,68.24,Netherlands,Returned
ORD-2024-100167,2024-07-10,C1052,Standing Desk Mat,Home Office,2,41.55,United Kingdom,Completed
ORD-2024-100168,2024-03-30,C1079,Noise-Canceling Headphones,Electronics,1,144.45,France,Cancelled
ORD-2024-100169,2024-10-25,C1032,Gel Pen Pack,Stationery,1,8.39,Netherlands,Completed
ORD-2024-100170,2024-01-05,C1036,Reusable Water Bottle,Kitchen,-1,21.77,United Kingdom,Cancelled
ORD-2024-100171,2024-08-14,C1038,USB-C Hub,Electronics,-1,45.84,Spain,Returned
ORD-2024-100172,2024-05-08,C1049,Coffee Grinder,Kitchen,2,74.31,Germany,Completed
ORD-2024-100173,2024-07-14,C1089,Desk Lamp,Home Office,3,35.27,United States,Completed
ORD-2024-100174,2024-12-03,,Resistance Bands,Wellness,2,12.78,United States,Cancelled
ORD-2024-100175,2024-11-06,C1115,Air Purifier Filter,Wellness,4,34.1,France,Completed
ORD-2025-100176,2025-02-14,C1079,Travel Mug,Kitchen,2,17.18,United Kingdom,Completed
ORD-2024-100177,2024-02-19,C1039,Reusable Water Bottle,Kitchen,-1,22.97,United States,Returned
ORD-2024-100178,2024-07-05,C1037,Travel Mug,Kitchen,4,14.47,Spain,Completed
ORD-2024-100179,2024-04-12,C1124,Noise-Canceling Headphones,Electronics,1,131.53,Netherlands,Completed
ORD-2024-100180,2024-03-25,C1061,Resistance Bands,Wellness,1,16.45,Canada,Completed
ORD-2024-100181,2024-02-28,C1096,Yoga Mat,Wellness,2,24.43,Spain,Completed
ORD-2025-100182,2025-02-15,C1050,Resistance Bands,Wellness,3,13.15,Netherlands,Completed
ORD-2024-100183,2024-03-04,C1086,Planner,Stationery,2,18.93,Spain,Completed
ORD-2024-100184,2024-11-22,C1029,Resistance Bands,Wellness,-1,13.23,United States,Returned
ORD-2025-100185,03/28/2025,C1078,Travel Mug,Kitchen,-1,15.65,Germany,Returned
ORD-2025-100186,2025-02-25,C1083,Reusable Water Bottle,Kitchen,2,23.33,Germany,Completed
ORD-2024-100187,2024-01-24,C1063,Noise-Canceling Headphones,Electronics,-1,122.36,Germany,Returned
ORD-2025-100188,2025-03-30,C1047,Desk Lamp,Home Office,2,33.35,Spain,Cancelled
ORD-2025-100189,2025-01-15,C1083,Travel Mug,Kitchen,3,18.41,Italy,Completed
ORD-2024-100190,2024-07-27,C1088,Travel Mug,Kitchen,-1,15.41,France,Returned
ORD-2024-100191,2024-08-15,C1012,Gel Pen Pack,Stationery,-1,9.4,Canada,Cancelled
ORD-2024-100192,2024-11-26,C1024,Planner,Stationery,2,17.45,Italy,Completed
ORD-2024-100193,2024-12-05,C1124,USB-C Hub,Electronics,1,41.66,United States,Completed
ORD-2024-100194,2024-06-19,C1072,Yoga Mat,Wellness,1,24.86,Germany,Completed
ORD-2025-100195,2025-01-26,C1104,Resistance Bands,Wellness,3,15.38,Canada,Completed
ORD-2024-100196,2024-03-16,C1035,Yoga Mat,Wellness,4,28.81,United Kingdom,Completed
ORD-2024-100197,2024-05-08,C1110,Planner,Stationery,4,15.89,United Kingdom,Completed
ORD-2024-100198,2024-07-02,C1041,Wireless Mouse,Electronics,4,23.03,United Kingdom,Completed
ORD-2024-100199,2024-01-27,C1014,Ergonomic Chair,Home Office,1,213.81,Germany,Processing
ORD-2024-100200,2024-08-17,C1013,Gel Pen Pack,Stationery,4,8.52,France,Completed
ORD-2024-100201,2024-01-23,C1084,Travel Mug,Kitchen,3,18.52,Netherlands,Cancelled
ORD-2024-100202,2024-11-25,C1061,Gel Pen Pack,Stationery,-2,7.37,Spain,Returned
ORD-2024-100203,2024-02-25,,Reusable Water Bottle,Kitchen,2,24.7,Canada,Completed
ORD-2024-100204,2024-03-16,C1081,Travel Mug,Kitchen,1,15.39,Canada,Completed
